Class Name,Community,Rural Or Urban,Batch,District,Self Selected,Enrolled,Status
GONGNIA NANGALKANIA CLUSTER,GONGNIA-NANGALIKINIA*,Urban,Batch 5,Kassena-Nankana Municipal,66,66,Formation
KOLOGO CLUSTER,TUO KOLOGO ,Urban,Batch 5,Kassena-Nankana Municipal,132,132,Formation
DIKPEUNG GUNG,DIKPEUNG GUNG,Rural,Batch 5,Talensi,70,70,Disbursement
WEST MAMPRUSI DA PWD cluster A,Bugya Kura/Walewale,Rural,Batch 6 (PWD),West Mamprusi,5,5,Enrolment
WEST MAMPRUSI DA PWD cluster B,Bugya Kura/Walewale,Rural,Batch 6 (PWD),West Mamprusi,2,2,Enrolment
SAGBEISI,SAGBEISI,Rural,Batch 5,Mamprugu Moagduri,103,103,Mentoring
WURIJUNG FONGU, WURIJUNG FONGU,Rural,Batch 5,West Mamprusi,88,88,Mentoring
NAJONG NO.1 &2,NAJONG NO.1,Rural,Batch 5,Bunkpurugu-Nakpanduri,104,104,Mentoring
TARONGO,TARONGO,Rural,Batch 5,Bongo,51,51,Disbursement
KUGASHEIGU,KUGASHEIGU,Rural,Batch 5,Tempane,182,182,Disbursement
KAJITERI,KAJITERI,Rural,Batch 5,Chereponi,100,100,Disbursement
Naturi -Tichangu,NATURI,Rural,Batch 5,Chereponi,151,151,Disbursement
PINDA CLUSTER,PINDA*,Urban,Batch 5,Kassena-Nankana Municipal,80,80,Formation
NATUGNIA CLUSTER,AKUMBISI,Urban,Batch 5,Kassena-Nankana Municipal,75,75,Formation
BOATERIGU,BOATERIGU,Rural,Batch 5,Bunkpurugu-Nakpanduri,75,75,Formation
BINDURI DA PWD cluster B,Binduri Cluster,Rural,Batch 6 (PWD),Binduri,3,2,Planning
BAWKU WEST DA PWD cluster B,Yikurugu,Rural,Batch 6 (PWD),Bawku West,0,0,Planning
